Secao,Titulo,Descrição,Data
economia,"Biden prometerá medidas para dissuadir ataques nucleares contra a Coreia do Sul, dizem autoridades","Por Steve Holland e David Brunnstrom WASHINGTON (Reuters) – Em uma cúpula na próxima semana com o líder sul-coreano, Yoon Suk Yeol, o presidente norte-americano, Joe Biden, prometerá medidas “substanciais” para sublinhar o comprometimento dos EUA para dissuadir ataques nucleares da Coreia do Norte contra a Coreia do Sul, disse uma autoridade norte-americana nesta sexta-feira. […]",21/04/2023 21:07
economia,"BCE/Guindos: núcleo da inflação também baixará, mesmo que esteja mais ‘pegajoso’","O vice-presidente do Banco Central Europeu (BCE), Luis de Guindos, afirmou nesta sexta-feira, 21, que o núcleo da inflação na zona do euro, que exclui itens voláteis como alimentos e energia, ainda baixará, embora esteja mais “pegajoso” que o índice cheio. A declaração foi dada durante evento em Madri, no qual ele disse que os […]",21/04/2023 19:31
economia,Investigação sobre chefe da OEA atrai pressão de membros por reformas éticas,"Por Matt Spetalnick WASHINGTON (Reuters) – A Organização dos Estados Americanos aprovou uma resolução nesta sexta-feira por um plano para atualizar seu código de regras e ética, em resposta a uma investigação externa que concluiu que o chefe da entidade exibiu falta de sensatez, mas não cometeu uma má conduta séria ao manter uma relação […]",21/04/2023 19:02
economia,"Para diretora do Fed, caminho da inflação de volta a 2% nos EUA será longo","Diretora do Federal Reserve (Fed, o banco central americano), Lisa Cook afirmou que existem indícios de que o caminho da inflação de volta a 2% nos Estados Unidos será longo. “Se os dados mostrarem força contínua na economia e desinflação mais lenta, podemos ter mais trabalho a fazer”, observou, durante evento da Universidade de Georgetown. […]",21/04/2023 18:48
economia,S&P revisa perspectiva de ratings soberanos do Reino Unido de negativa para estável,"A S&P Global Ratings revisou nesta sexta-feira, 21, a perspectiva do crédito soberano do Reino Unido de negativa para estável, diante da percepção de que os riscos de curto prazo à economia britânica arrefeceram. Ainda assim, a agência prevê uma contração “modesta” do Produto Interno Bruto (PIB) do país este ano, de 0,5%. A instituição […]",21/04/2023 18:33
economia,"S&P reafirma rating ‘BBB/A-2’ da Itália, com perspectiva estável","A S&P reafirmou nesta sexta-feira, 21, o rating ‘BBB/A-2’ da Itália, com perspectiva estável. A agência de classificação de risco projeta que a taxa de dívida pública em relação ao Produto Interno Bruto (PIB) do país deve reduzir nos próximos três anos, tendo em vista uma aceleração do crescimento no próximo ano em razão dos […]",21/04/2023 18:25
economia,Biden assina decreto sobre “justiça ambiental”,"Por Steve Holland WASHINGTON (Reuters) – O presidente norte-americano, Joe Biden, assinou um decreto nesta sexta-feira determinando que todas as agências federais trabalhem por “justiça ambiental para todos” e melhorem as vidas das comunidades mais atingidas pela poluição tóxica e pelas mudanças climáticas. O decreto estabelecerá o Gabinete de Justiça Ambiental dentro da Casa Branca […]",21/04/2023 17:58
economia,"Conflitos em Cartum não diminuem, após Exército do Sudão declarar trégua","Por Khalid Abdelaziz e Nafisa Eltahir CARTUM (Reuters) – Pesados tiroteios foram ouvidos em Cartum nesta sexta-feira, após o Exército do Sudão declarar uma trégua, disse uma testemunha da Reuters, um golpe às tentativas internacionais de encerrar quase uma semana de conflitos entre suas tropas e uma força rival. A origem dos tiros não ficou […]",21/04/2023 17:26
economia,"Cepal prevê menor crescimento na AL e Caribe, 1,2% em 2023; Brasil deve avançar 0,8%","A Comissão Econômica para a América Latina e o Caribe (Cepal), ligada à Organização das Nações Unidas (ONU), espera desaceleração do crescimento econômico na América Latina e no Caribe em 2023, com um avanço de 1,2% no ano. Para o Brasil, a perspectiva é de alta de 0,8% do Produto Interno Bruto (PIB). O menor […]",21/04/2023 17:21
economia,"México capta US$ 2,9 bi no mercado internacional, segunda emissão externa do país em 2023","O México captou US$ 2,94 bilhões no mercado internacional esta semana e vai usar parte do dinheiro para recomprar títulos emitidos no passado. A demanda pelos papéis superou US$ 11 bilhões, segundo fontes que acompanharam a operação, a única da América Latina esta semana no mercado internacional. Os papéis têm vencimento em 2053 e com […]",21/04/2023 17:19
economia,"Tribunal da Rússia ordena prisão à revelia de repórter búlgaro, diz agência RIA","(Reuters) – Um tribunal de Moscou ordenou nesta sexta-feira a prisão à revelia do jornalista investigativo búlgaro, Christo Grozev, cujo trabalho para o site Bellingcat irritou a Rússia, disse a agência de notícias RIA. O tribunal disse que Grozev cruzou ilegalmente a fronteira russa. A RIA citou uma fonte policial dizendo que Grozev foi acusado […]",21/04/2023 16:51
economia,Poluição e gripe aviária ameaçam a “muito frágil” população de golfinhos-chilenos,"SANTIAGO (Reuters) – Poluição cada vez maior, atividades industriais e agora a gripe aviária estão ameaçando os golfinhos-chilenos, um dos menores cetáceos do mundo, nas águas frias do Oceano Pacífico na costa oeste do Chile. A baixa população do golfinhos, também conhecidos como “tonina negra”, vive nas costas sul e central do Chile, em baías […]",21/04/2023 16:37
economia,Aliados trabalham para aumentar forças de tanques da Ucrânia antes de contra-ofensiva,"BASE AÉREA RAMSTEIN, Alemanha (Reuters) – Os Estados Unidos disseram que em breve começarão a treinar tropas ucranianas para usar seus tanques Abrams, e a Alemanha anunciou um acordo para organizar um centro de reparo de tanques na Polônia, com os EUA sediando uma reunião de aliados nesta sexta-feira.   A reunião na base aérea […]",21/04/2023 16:29
economia,Brasil está prestes a se tornar o maior exportador de milho do mundo,"Em sua fazenda em Sinop, no Mato Grosso, o produtor rural Ilson José Redivo terminou o plantio de milho há algumas semanas, imediatamente depois da colheita de soja no mesmo terreno. A “safrinha”, que começou nos anos 1980 como um cultivo secundário, superou há uma década a colheita de verão e, graças a ela, espera-se […]",21/04/2023 15:54
economia,Reino Unido quer mudar lei para acelerar deportação de imigrantes ilegais,"Por David Milliken LONDRES (Reuters) – O governo do Reino Unido informou nesta sexta-feira que estabelecerá medidas para limitar a capacidade dos tribunais de bloquear a deportação de imigrantes ilegais, como parte de mudanças na legislação proposta que será submetida ao Parlamento na próxima semana. Interromper o fluxo de requerentes de asilo e outros migrantes […]",21/04/2023 15:41
economia,Credit Suisse: investidores questionam cancelamento de US$ 17 bilhões em bônus,"Detentores de bônus do Credit Suisse iniciaram um processo legal na Suíça questionando a decisão de reguladores de dar baixa contábil em US$ 17 bilhões em dívida, como parte da aquisição do banco pelo UBS no mês passado. Investidores que detêm cerca de 4,5 bilhões em francos suíços da dívida cancelada do Credit Suisse querem […]",21/04/2023 15:36
